aX,aY,aZ,gX,gY,gZ
0.211,-0.268,0.692,-23.132,80.627,38.879
0.232,-0.271,0.597,-23.132,77.698,41.992
0.241,-0.296,0.589,-22.095,70.679,43.823
0.249,-0.269,0.649,-19.226,62.561,48.462
0.249,-0.236,0.656,-18.555,58.777,52.734
0.248,-0.234,0.598,-18.311,59.448,55.115
0.248,-0.211,0.549,-16.663,58.472,57.495
0.239,-0.190,0.492,-15.381,55.664,59.937
0.235,-0.162,0.419,-16.846,52.429,61.584
0.234,-0.178,0.389,-20.142,46.143,62.256
0.237,-0.172,0.440,-19.958,37.842,63.721
0.236,-0.106,0.470,-13.000,33.142,67.627
0.244,-0.061,0.441,-6.714,32.898,70.068
0.247,-0.074,0.416,2.319,32.654,70.679
0.246,-0.098,0.384,14.648,31.799,72.083
0.234,-0.047,0.341,24.353,30.029,75.989
0.231,0.101,0.318,33.691,26.123,81.055
0.224,0.152,0.345,36.926,19.592,80.750
0.214,0.127,0.329,39.124,14.832,75.928
0.213,0.131,0.360,42.053,8.850,75.012
0.209,0.129,0.455,46.021,1.709,74.829
0.202,0.149,0.518,51.208,-0.671,74.707
0.185,0.164,0.498,57.190,1.404,74.158
0.189,0.199,0.402,62.256,3.906,73.181
0.190,0.278,0.348,60.730,0.244,73.792
0.190,0.293,0.377,51.392,-9.277,72.632
0.193,0.245,0.460,43.884,-19.043,69.214
0.176,0.252,0.549,40.955,-25.269,69.153
0.151,0.302,0.552,43.396,-25.330,70.007
0.141,0.340,0.481,48.706,-23.315,69.336
0.136,0.360,0.442,53.040,-25.574,67.078
0.134,0.393,0.490,50.842,-33.936,65.979
0.146,0.414,0.580,42.603,-42.175,64.087
0.151,0.437,0.626,30.579,-45.898,60.669
0.158,0.436,0.547,20.874,-42.725,57.251
0.148,0.420,0.474,12.207,-42.603,53.772

0.142,0.427,0.461,7.446,-53.223,49.072
0.130,0.441,0.442,5.371,-58.411,47.424
0.109,0.462,0.481,-3.662,-65.430,46.692
0.088,0.462,0.587,-12.878,-74.219,44.006
0.061,0.420,0.635,-15.259,-77.698,40.161
0.035,0.366,0.613,-12.329,-77.148,37.354
0.009,0.396,0.639,-6.592,-78.552,37.537
-0.010,0.469,0.720,-1.404,-82.031,39.063
-0.021,0.512,0.846,2.625,-84.351,37.476
-0.032,0.531,0.966,4.761,-84.412,34.058
-0.033,0.572,0.984,5.188,-79.163,30.701
-0.036,0.609,0.915,3.418,-72.510,26.978
-0.056,0.579,0.845,-2.625,-70.374,20.508
-0.069,0.506,0.852,-6.226,-73.181,13.855
-0.080,0.438,0.882,-0.732,-75.745,9.949
-0.098,0.449,0.933,8.606,-76.782,9.399
-0.106,0.507,1.020,16.663,-77.576,9.705
-0.113,0.514,1.055,22.339,-75.562,6.714
-0.116,0.461,1.018,27.100,-70.313,1.892
-0.129,0.446,0.973,29.236,-67.139,-1.160
-0.153,0.501,0.952,23.132,-66.711,-2.502
-0.166,0.474,0.923,19.165,-66.101,-7.690
-0.178,0.355,0.930,22.827,-65.613,-14.221
-0.193,0.376,1.071,27.039,-69.397,-15.259
