aX,aY,aZ,gX,gY,gZ
0.102,-0.174,0.652,-2.869,-73.486,-1.709
0.091,-0.177,0.689,4.150,-76.599,-2.014
0.080,-0.185,0.730,8.667,-80.139,-2.319
0.080,-0.209,0.727,12.329,-81.970,-2.014
0.082,-0.211,0.760,15.198,-84.900,-1.709
0.085,-0.218,0.823,16.418,-87.341,-1.770
0.083,-0.228,0.841,15.869,-86.060,-1.526
0.065,-0.227,0.845,13.855,-84.290,-1.221
0.038,-0.214,0.856,10.681,-82.458,-1.221
-0.009,-0.204,0.865,6.348,-80.688,-1.465
-0.055,-0.206,0.913,1.953,-79.956,-1.709
-0.084,-0.209,0.921,3.845,-79.590,-2.441
-0.110,-0.229,0.899,11.536,-80.750,-4.150
-0.113,-0.242,0.875,18.188,-82.031,-5.371
-0.115,-0.221,0.929,20.081,-83.740,-5.798
-0.103,-0.228,1.015,21.057,-84.961,-6.409
-0.106,-0.315,1.035,25.940,-82.703,-7.935
-0.112,-0.347,1.009,29.968,-82.031,-8.057
-0.141,-0.330,1.017,28.259,-84.167,-7.141
-0.169,-0.308,1.055,22.949,-83.008,-6.897
-0.195,-0.277,1.106,14.099,-80.139,-6.226
-0.169,-0.238,1.212,5.493,-79.163,-8.179
-0.221,-0.260,1.239,-0.916,-76.355,-10.498
-0.236,-0.327,1.307,-6.470,-75.256,-12.756
-0.266,-0.349,1.362,-7.324,-72.021,-12.390
-0.282,-0.355,1.427,-6.592,-69.092,-10.681
-0.289,-0.347,1.471,-2.869,-64.575,-9.277
-0.301,-0.344,1.505,2.014,-61.462,-8.423
-0.302,-0.337,1.560,4.089,-57.190,-8.179
-0.307,-0.337,1.574,4.456,-51.819,-7.568
-0.345,-0.379,1.524,6.165,-47.791,-6.714
-0.366,-0.343,1.571,4.761,-47.241,-7.202
-0.374,-0.345,1.564,3.540,-45.898,-7.874
-0.355,-0.376,1.549,4.639,-42.603,-8.545
-0.351,-0.394,1.526,4.272,-39.185,-7.629
-0.346,-0.375,1.512,2.869,-36.682,-5.981
-0.329,-0.374,1.531,4.150,-35.889,-5.981
-0.321,-0.371,1.558,5.676,-34.729,-5.615
-0.324,-0.306,1.568,4.517,-31.982,-4.150
-0.319,-0.267,1.559,-0.549,-27.649,-3.235
-0.315,-0.252,1.600,-7.385,-24.231,-3.662
-0.329,-0.260,1.649,-14.221,-20.081,-3.418
-0.347,-0.255,1.685,-17.273,-15.137,-2.014
-0.356,-0.275,1.714,-13.672,-11.292,-1.343
-0.361,-0.268,1.756,-7.751,-8.179,-0.671
-0.361,-0.250,1.729,-1.343,-2.808,0.671
-0.352,-0.253,1.719,2.625,3.540,1.282
-0.346,-0.268,1.709,3.174,10.132,2.258
-0.336,-0.239,1.655,1.709,18.127,5.127
-0.319,-0.250,1.599,1.404,24.658,6.958
-0.313,-0.239,1.591,-0.732,29.419,8.057
-0.306,-0.194,1.600,-4.456,34.058,8.850
-0.302,-0.194,1.578,-4.089,37.476,7.202
-0.293,-0.214,1.600,-4.456,40.466,4.883
-0.279,-0.211,1.621,-7.446,44.312,4.333
-0.303,-0.199,1.638,-8.972,49.194,4.272
-0.301,-0.230,1.659,-7.202,54.199,3.174

-0.301,-0.248,1.550,-2.258,65.308,4.639
-0.294,-0.279,1.471,-0.122,70.557,4.822
-0.312,-0.301,1.419,0.244,73.364,5.493
-0.303,-0.305,1.366,2.075,76.050,6.775
-0.295,-0.302,1.305,5.371,77.698,7.324
-0.277,-0.315,1.255,5.615,79.041,8.057
-0.264,-0.334,1.224,2.625,81.726,7.874
-0.259,-0.348,1.189,-0.366,84.656,7.751
-0.246,-0.358,1.142,-3.174,87.280,8.057
-0.223,-0.343,1.101,-5.249,89.172,9.155
-0.204,-0.326,1.080,-6.531,89.905,9.216
-0.184,-0.302,1.076,-8.667,91.492,9.399
-0.167,-0.274,1.056,-12.146,92.896,8.850
-0.161,-0.305,1.018,-12.390,92.712,7.263
